7/8/2000 7:16 AM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.04333	
//WLCalib: 261S 	-0.46000	
//WLCalib: 362S 	-0.29000	
//WLCalib: 484S 	-0.24000	
//WLCalib: 529S 	-0.30000	
//WLCalib: 823S 	-0.76000	
//QSpecEnd: 
534.0	0.057
534.5	0.056
535.0	0.056
535.5	0.055
536.0	0.055
536.5	0.055
537.0	0.055
537.5	0.055
538.0	0.055
538.5	0.056
539.0	0.056
539.5	0.056
540.0	0.056
540.5	0.056
541.0	0.056
541.5	0.056
542.0	0.055
542.5	0.055
543.0	0.055
543.5	0.054
544.0	0.054
544.5	0.054
545.0	0.054
545.5	0.054
546.0	0.055
546.5	0.055
547.0	0.055
547.5	0.055
548.0	0.055
548.5	0.055
549.0	0.054
549.5	0.054
550.0	0.054
550.5	0.054
551.0	0.054
551.5	0.054
552.0	0.055
552.5	0.055
553.0	0.055
553.5	0.055
554.0	0.054
554.5	0.054
555.0	0.054
555.5	0.054
556.0	0.054
556.5	0.053
557.0	0.053
557.5	0.053
558.0	0.053
558.5	0.053
559.0	0.053
559.5	0.053
560.0	0.053
560.5	0.053
561.0	0.053
561.5	0.053
562.0	0.053
562.5	0.052
563.0	0.053
563.5	0.053
564.0	0.053
564.5	0.054
565.0	0.054
565.5	0.054
566.0	0.054
566.5	0.054
567.0	0.054
567.5	0.053
568.0	0.053
568.5	0.052
569.0	0.052
569.5	0.052
570.0	0.052
570.5	0.052
571.0	0.052
571.5	0.053
572.0	0.053
572.5	0.053
573.0	0.052
573.5	0.051
574.0	0.051
574.5	0.052
575.0	0.052
575.5	0.051
576.0	0.051
576.5	0.051
577.0	0.051
577.5	0.051
578.0	0.051
578.5	0.051
579.0	0.052
579.5	0.052
580.0	0.052
580.5	0.052
581.0	0.052
581.5	0.051
582.0	0.051
582.5	0.051
583.0	0.050
583.5	0.050
584.0	0.050
584.5	0.050
585.0	0.050
585.5	0.051
586.0	0.051
586.5	0.052
587.0	0.052
587.5	0.052
588.0	0.051
588.5	0.051
589.0	0.051
589.5	0.051
590.0	0.051
590.5	0.051
591.0	0.050
591.5	0.050
592.0	0.050
592.5	0.049
593.0	0.049
593.5	0.048
594.0	0.049
594.5	0.049
595.0	0.049
595.5	0.050
596.0	0.050
596.5	0.050
597.0	0.051
597.5	0.050
598.0	0.050
598.5	0.049
599.0	0.049
599.5	0.049
600.0	0.050
600.5	0.049
601.0	0.049
601.5	0.049
602.0	0.050
602.5	0.050
603.0	0.050
603.5	0.050
604.0	0.050
604.5	0.050
605.0	0.050
605.5	0.049
606.0	0.049
606.5	0.048
607.0	0.049
607.5	0.049
608.0	0.049
608.5	0.050
609.0	0.050
609.5	0.051
